District,Thana,SubOffice,Post Code,location,coordinate
Munshiganj,Tangibari,Baligao,1522,"1522 Baligao,Munshiganj","23.4949379,90.40780579999999"
Munshiganj,Tangibari,Betkahat,1521,"1521 Betkahat,Munshiganj","23.5421898,90.5305087"
Munshiganj,Tangibari,Dighirpar,1525,"1525 Dighirpar,Munshiganj","23.4419779,90.4897547"
Munshiganj,Tangibari,Hasail,1524,"1524 Hasail,Munshiganj","23.4322948,90.4573131"
Munshiganj,Tangibari,Pura,1527,"1527 Pura,Munshiganj","23.4517412,90.502921"
Munshiganj,Tangibari,Pura EDSO,1526,"1526 Pura EDSO,Munshiganj","23.5421898,90.5305087"
Munshiganj,Tangibari,Tangibari,1520,"1520 Tangibari,Munshiganj","23.5096549,90.4667501"
Narayanganj,Araihazar,Araihazar,1450,"1450 Araihazar,Narayanganj","23.7916557,90.6535914"
Narayanganj,Sonargaon,Jampur,1460,"1460 Jampur,Narayanganj","23.8657866,90.51810320000001"
Narayanganj,Araihazar,Gopaldi,1451,"1451 Gopaldi,Narayanganj","23.8003403,90.7081527"
Narayanganj,Baidder Bazar,Baidder Bazar,1440,"1440 Baidder Bazar,Narayanganj","23.6872329,90.5180687"
Narayanganj,Baidder Bazar,Bara Nagar,1441,"1441 Bara Nagar,Narayanganj","23.6271784,90.5851982"
Narayanganj,Baidder Bazar,Barodi,1442,"1442 Barodi,Narayanganj","23.6995011,90.6370005"
Narayanganj,Bandar,Bandar,1410,"1410 Bandar,Narayanganj","23.63272,90.5246943"
Narayanganj,Bandar,BIDS,1413,"1413 BIDS,Narayanganj","23.6237764,90.50004039999999"
Narayanganj,Bandar,D.C Mills,1411,"1411 D.C Mills,Narayanganj","23.6237764,90.50004039999999"
Narayanganj,Bandar,Madanganj,1414,"1414 Madanganj,Narayanganj","23.5950545,90.51810320000001"
Narayanganj,Bandar,Nabiganj,1412,"1412 Nabiganj,Narayanganj","23.6322233,90.5263731"
Narayanganj,Fatullah,Fatulla Bazar,1421,"1421 Fatulla Bazar,Narayanganj","23.6390287,90.4731497"
Narayanganj,Fatullah,Fatullah,1420,"1420 Fatullah,Narayanganj","23.6422928,90.4816582"
Narayanganj,Narayanganj Sadar,Narayanganj Sadar,1400,"1400 Narayanganj Sadar,Narayanganj","23.6237764,90.50004039999999"
Narayanganj,Rupganj,Bhulta,1462,"1462 Bhulta,Narayanganj","23.7838302,90.5630177"
Narayanganj,Rupganj,Kanchan,1461,"1461 Kanchan,Narayanganj","23.839619,90.5588787"
Narayanganj,Rupganj,Murapara,1464,"1464 Murapara,Narayanganj","23.7817416,90.5222379"
Narayanganj,Rupganj,Nagri,1463,"1463 Nagri,Narayanganj","23.893366,90.4974359"
Narayanganj,Rupganj,Rupganj,1460,"1460 Rupganj,Narayanganj","23.8158899,90.5399631"
Narayanganj,Siddirganj,Adamjeenagar,1431,"1431 Adamjeenagar,Narayanganj","23.6761219,90.5234193"
Narayanganj,Siddirganj,LN Mills,1432,"1432 LN Mills,Narayanganj","23.7146601,90.563609"
Narayanganj,Siddirganj,Siddirganj,1430,"1430 Siddirganj,Narayanganj","23.6954032,90.5059194"
Narsingdi,Belabo,Belabo,1640,"1640 Belabo,Narsingdi","24.1050631,90.8514464"
Narsingdi,Monohordi,Hatirdia,1651,"1651 Hatirdia,Narsingdi","24.1000967,90.70462239999999"
Narsingdi,Monohordi,Katabaria,1652,"1652 Katabaria,Narsingdi","24.1607371,90.76822489999999"
Narsingdi,Monohordi,Monohordi,1650,"1650 Monohordi,Narsingdi","24.1408847,90.70311579999999"
Narsingdi,Narsingdi Sadar,Karimpur,1605,"1605 Karimpur,Narsingdi","23.8882656,90.74658219999999"
Narsingdi,Madhabdi,Madhabdi,1604,"1604 Madhabdi,Narsingdi","23.8481008,90.6701892"
Narsingdi,Narsingdi Sadar,Narsingdi College,1602,"1602 Narsingdi College,Narsingdi","23.9336281,90.72256569999999"
Narsingdi,Narsingdi Sadar,Narsingdi Sadar,1600,"1600 Narsingdi Sadar,Narsingdi","23.9205892,90.7182232"
Narsingdi,Narsingdi Sadar,Panchdona,1603,"1603 Panchdona,Narsingdi","23.8941053,90.6638329"
Narsingdi,Narsingdi Sadar,UMC Jute Mills,1601,"1601 UMC Jute Mills,Narsingdi","23.9116855,90.71153869999999"
Narsingdi,Palash,Char Sindhur,1612,"1612 Char Sindhur,Narsingdi","24.0057472,90.66307499999999"
Narsingdi,Palash,Ghorashal,1613,"1613 Ghorashal,Narsingdi","23.9344997,90.634631"
Narsingdi,Palash,Sarkarkhana,1611,"1611 Sarkarkhana,Narsingdi","23.9853937,90.64182"
Narsingdi,Palash,Palash,1610,"1610 Palash,Narsingdi","23.9879669,90.6488505"
Narsingdi,Raypura,Bazar Hasnabad,1631,"1631 Bazar Hasnabad,Narsingdi","23.9367806,90.77208999999999"
Narsingdi,Raypura,Radhaganj bazar,1632,"1632 Radhaganj bazar,Narsingdi","23.9789889,90.80985009999999"
Narsingdi,Raypura,Raypura,1630,"1630 Raypura,Narsingdi","23.9828659,90.8800435"
Narsingdi,Shibpur,Shibpur,1620,"1620 Shibpur,Narsingdi","24.038119,90.73664889999999"
Rajbari,Baliakandi,Baliakandi,7730,"7730 Baliakandi,Rajbari","23.6346865,89.5474046"
Rajbari,Baliakandi,Nalia,7731,"7731 Nalia,Rajbari","23.6051411,89.6275185"
Rajbari,Pangsha,Mrigibazar,7723,"7723 Mrigibazar,Rajbari","23.715134,89.5874819"
