Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
Jhargaon Comonity Clinic,26.1323695,88.3562183,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ5b-xJyzv5DkRiwUm5HoC-lo,"49J4+WF Nageswarbari, Bangladesh",7MRC49J4+WF
২ নং আখানগর ইউনিয়ন স্বাস্থ কমপ্লেক্স,26.1308886,88.3721446,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Thakurgaon Sadar Upazila,ChIJP130rBvv5DkR0A218Rf57Aw,"49JC+9V Nageswarbari, Bangladesh",7MRC49JC+9V
ডিমলা সদর ইউনিয়ন স্বাস্থ্য ও পরিবার কল্যাণ কেন্দ্র,26.1241891,88.9182121,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Dimla Upazila,ChIJK-CbKFVn4zkR0dJ2XbifFp8,"4WF9+M7 Dimla, Bangladesh",7MRC4WF9+M7
"Karotoa Clinic, Debiganj",26.1239254,88.7569239,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Bhowlaganj Road, Debiganj",ChIJu074MXqe5DkRT-2A-zJI7PQ,"4QF4+HQ Debiganj, Bangladesh",7MRC4QF4+HQ
Hatibandha Upazila Health Complex,26.1217466,89.1411406,4.2,14,"['hospital', 'health', 'point_of_interest', 'establishment']","Lalmonirhat - Phulbari Road, Shingimari",ChIJJbp-s3oU4zkRF4KaWAPMQWQ,"44CR+MF Shingimari, Bangladesh",7MRF44CR+MF
Human Clinic,26.1215392,88.7570533,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Babu Para, Debiganj",ChIJjei9B6Gf5DkRbstcnoyhx_E,"4QC4+JR Debiganj, Bangladesh",7MRC4QC4+JR
Hatibandha Upazila Livestock Office & Veterinary Hospital,26.1212674,89.1397314,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Hatibanda,ChIJ5bgv3V4V4zkReb_5HPpGv4U,"44CQ+GV Sindurna, Bangladesh",7MRF44CQ+GV
Bhurungamari upazilla health complex,26.1194298,89.6652549,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Hospital Road,ChIJQ5XtCZnr4jkRu9AnT4ZIFjo,"4M98+Q4 Bhurungamari, Bangladesh",7MRF4M98+Q4
ভূরূঙ্গামারী উপজেলা স্বাস্থ্য কমপ্লেক্স,26.1194151,89.6645371,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhuruingamari Upazila,ChIJAVU4i8Dr4jkRDVan0J6BdWQ,"4M97+QR Bhurungamari, Bangladesh",7MRF4M97+QR
Government Hospital,26.1193314,89.664682,4.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Bhurungamari,ChIJYaRkXXbr4jkRY1ab1NFB3aw,"4M97+PV Bhurungamari, Bangladesh",7MRF4M97+PV
