District,Thana,SubOffice,Post Code,location,coordinate
Sylhet,Golapganj,Dakkhin Bhadashore,3162,"3162 Dakkhin Bhadashore,Sylhet","24.8949294,91.8687063"
Sylhet,Golapganj,Dhaka Dakkshin,3161,"3161 Dhaka Dakkshin,Sylhet","24.8080249,92.0414028"
Sylhet,Golapganj,Golapganj,3160,"3160 Golapganj,Sylhet","24.8580629,92.01507579999999"
Sylhet,Golapganj,Ranaping,3163,"3163 Ranaping,Sylhet","24.8949294,91.8687063"
Sylhet,Jaintapur,Jaintapur,3156,"3156 Jaintapur,Sylhet","25.1349003,92.1223018"
Sylhet,Jakiganj,Ichhamati,3191,"3191 Ichhamati,Sylhet","24.7435081,91.80867699999999"
Sylhet,Jakiganj,Jakiganj,3190,"3190 Jakiganj,Sylhet","24.8781208,92.36778869999999"
Sylhet,Kanaighat,Chatulbazar,3181,"3181 Chatulbazar,Sylhet","25.0533784,92.1741921"
Sylhet,Kanaighat,Gachbari,3183,"3183 Gachbari,Sylhet","24.9515841,92.1554352"
Sylhet,Kanaighat,Kanaighat,3180,"3180 Kanaighat,Sylhet","25.0088198,92.25565429999999"
Sylhet,Kanaighat,Manikganj,3182,"3182 Manikganj,Sylhet","23.8644225,90.004663"
Sylhet,Kompanyganj,Kompanyganj,3140,"3140 Kompanyganj,Sylhet","25.0881669,91.7550986"
Sylhet,Sylhet Sadar,Birahimpur,3106,"3106 Birahimpur,Sylhet","25.0958846,91.4507187"
Sylhet,Sylhet Sadar,Jalalabad,3107,"3107 Jalalabad,Sylhet","24.9089724,91.862321"
Sylhet,Shahporan,Jalalabad Cantoment,3104,"3104 Jalalabad Cantoment,Sylhet","24.9367565,91.98282329999999"
Sylhet,Sylhet Sadar,Kadamtali,3111,"3111 Kadamtali,Sylhet","24.8733926,91.8684207"
Sylhet,Sylhet Sadar,Kamalbazer,3112,"3112 Kamalbazer,Sylhet","24.8792069,91.8105047"
Sylhet,Sylhet Sadar,Khadimnagar,3103,"3103 Khadimnagar,Sylhet","24.8949294,91.8687063"
Sylhet,Sylhet Sadar,Lalbazar,3113,"3113 Lalbazar,Sylhet","24.8918178,91.8714138"
Sylhet,Sylhet Sadar,Mogla,3108,"3108 Mogla,Sylhet","24.8015479,91.9135877"
Sylhet,Sylhet Sadar,Ranga Hajiganj,3109,"3109 Ranga Hajiganj,Sylhet","23.2520414,90.85083449999999"
Sylhet,Sylhet Sadar,Shahajalal Science &,3114,"3114 Shahajalal Science &,Sylhet","24.9172232,91.8319132"
Sylhet,Sylhet Sadar,Silam,3105,"3105 Silam,Sylhet","24.8467478,91.8574415"
Sylhet,Sylhet Sadar,Sylhet Sadar,3100,"3100 Sylhet Sadar,Sylhet","24.8949294,91.8687063"
Sylhet,Sylhet Sadar,Sylhet Biman Bondar,3102,"3102 Sylhet Biman Bondar,Sylhet","24.8949294,91.8687063"
Sylhet,Sylhet Sadar,Sylhet Cadet Col,3101,"3101 Sylhet Cadet Col,Sylhet","24.9484241,91.86926079999999"
