,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
851,Upazila health Complex,24.1775017,88.961901,4.3,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Lalpur Upazila,ChIJE3V0Pxgd_DkRDWRAIrbr5tA,"5XH6+2Q Lalpur, Bangladesh",7MPC5XH6+2Q
852,"Upazila Health Complex, Raninagar, Naogaon",24.742108399999996,88.96039300000001,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","Naogaon - Natore Highway, Raninagar",ChIJ_1P-a3Fl_DkRexPF8YJaXzk,"PXR6+R5 Raninagar, Bangladesh",7MPCPXR6+R5
853,Phulbari Upazila Health complex,25.5015095,88.9487077,4.2,25,"['hospital', 'health', 'point_of_interest', 'establishment']","R585, Phulbari",ChIJqRA6ViSw_DkRmosFZZQG7rA,"GW2X+JF Phulbari, Bangladesh",7MQCGW2X+JF
854,"Sadar Upazila Health Complex, (Ausudh Patti) Naogaon",24.8092621,88.9454637,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Unnamed Road, Naogaon",ChIJcSaBCYpj_DkRjGyuaLlbGCw,"RW5W+P5 Naogaon, Bangladesh",7MPCRW5W+P5
855,Brahmapur union health complex,24.5200828,88.94126170000001,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Naldanga,ChIJZ9a4Nr8N_DkRttCNSh8aMr8,"GWCR+2G Naldanga, Bangladesh",7MPCGWCR+2G
856,Chandanpur Health Complex,22.9065808,88.9347808,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kalaroa Upazila,ChIJryCMLaxJ_zkRqg25Q599Sh4,"WW4M+JW Chandanpur, Bangladesh",7MJCWW4M+JW
857,Union health complex,24.2351854,88.934646,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Lalpur Upazila,ChIJcVJn07YD_DkR14X56d3SilI,"6WPM+3V Bilmaria, Bangladesh",7MPC6WPM+3V
858,Upazila health complex with 50 beds,26.156356699999996,88.92509840000001,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Medical Road,ChIJH60t-aJl4zkRHvLsUwdalLQ,"5W4G+G2 Balapara, Bangladesh",7MRC5W4G+G2
859,Maheshpur Health Complex,23.3620937,88.9247775,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Maheshpur - Khalishpur Road, Maheshpur",ChIJj5WsixYo_zkRysoqiVqfFb8,"9W6F+RW Maheshpur, Bangladesh",7MMC9W6F+RW
861,Parbatipur Upazila Health Complex,25.6325889,88.9195327,4.5,19,"['hospital', 'health', 'point_of_interest', 'establishment']","Parbatipur - Baro Pukuria Road, Haldibari",ChIJtxmDqhWt_DkR2siV-B6tO5c,"JWM9+2R Haldibari, Bangladesh",7MQCJWM9+2R
