District,Thana,SubOffice,Post Code,location,coordinate
Pirojpur,kaukhali,Joykul,8512,"8512 Joykul,Pirojpur","22.5989782,90.0957057"
Pirojpur,kaukhali,Kaukhali,8510,"8510 Kaukhali,Pirojpur","22.6258092,90.07000509999999"
Pirojpur,kaukhali,Keundia,8511,"8511 Keundia,Pirojpur","22.6338959,90.0918466"
Pirojpur,Mathbaria,Betmor Natun Hat,8565,"8565 Betmor Natun Hat,Pirojpur","22.199652,89.9743463"
Pirojpur,Mathbaria,Gulishakhali,8563,"8563 Gulishakhali,Pirojpur","22.2473405,89.9696802"
Pirojpur,Mathbaria,Halta,8562,"8562 Halta,Pirojpur","22.2604155,90.0271176"
Pirojpur,Mathbaria,Mathbaria,8560,"8560 Mathbaria,Pirojpur","22.2920455,89.9580123"
Pirojpur,Mathbaria,Shilarganj,8566,"8566 Shilarganj,Pirojpur","22.5841051,89.9720133"
Pirojpur,Mathbaria,Tiarkhali,8564,"8564 Tiarkhali,Pirojpur","22.22887,89.9972615"
Pirojpur,Mathbaria,Tushkhali,8561,"8561 Tushkhali,Pirojpur","22.3598418,89.93408199999999"
Pirojpur,Nazirpur,Nazirpur,8540,"8540 Nazirpur,Pirojpur","22.7922258,89.95367829999999"
Pirojpur,Nazirpur,Sriramkathi,8541,"8541 Sriramkathi,Pirojpur","22.7449644,90.1167463"
Pirojpur,Pirojpur Sadar,Hularhat,8501,"8501 Hularhat,Pirojpur","22.654576,90.07397429999999"
Pirojpur,Pirojpur Sadar,Parerhat,8502,"8502 Parerhat,Pirojpur","22.506986,89.9936451"
Pirojpur,Pirojpur Sadar,Pirojpur Sadar,8500,"8500 Pirojpur Sadar,Pirojpur","22.5790744,89.97592639999999"
Pirojpur,Swarupkathi,Darus Sunnat,8521,"8521 Darus Sunnat,Pirojpur","22.5841051,89.9720133"
Pirojpur,Swarupkathi,Jalabari,8523,"8523 Jalabari,Pirojpur","22.7092112,90.1167463"
Pirojpur,Swarupkathi,Kaurikhara,8522,"8522 Kaurikhara,Pirojpur","22.7583861,90.0945371"
Pirojpur,Swarupkathi,Swarupkathi,8520,"8520 Swarupkathi,Pirojpur","22.7449644,90.1167463"
