Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID
ভাবক পাড়া কমিউনিটি ক্লিনিক,23.3091274,91.11403,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",,ChIJKzYVvEaHVDcRnPezMtGJB90
M.RAHMAN FERMACY,23.368924,91.1521238,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Comilla Sadar Dakshin Upazila,ChIJi4YY_qKAVDcRMVdw57WkCRs
S.M SHAFI HOSPITAL,23.3097445,91.0833352,4.7,7,"['hospital', 'health', 'point_of_interest', 'establishment']",Bizra,ChIJvRR6MUKGVDcRMoIPEAXI-6U
বালুয়াকান্দি কমিউনিটি ক্লিনিক,23.5785031,90.7473401,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Baluakandi,ChIJVVVVlftPVDcRYAFSHAU8etE
Green Lab Hospital,23.5393726,90.783552,4,8,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJ2eeztuVaVDcRnYsXoQ-vNUg
Gouripur City Hospital,23.5393618,90.7842367,4,5,"['hospital', 'health', 'point_of_interest', 'establishment']",Gouripur,ChIJgSNPsOVaVDcRYZfWL_bqO7g
পোরাচক বাউশীয়া পশ্চিম নয়াকান্দি কমিউনিটিাক্লিনিক,23.5540916,90.6649646,1,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Baushia Madrasa, N1, Gazaria",ChIJVVVFLhFSVDcR_6ngOVRW4S4
বালুয়াকান্দি কমিউনিটি ক্লিনিক,23.5478112,90.6204165,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Gazaria,ChIJVVVVVZVSVDcRig_jxDrSU10
বালুয়াকান্দি কমিউনিটি ক্লিনিক,23.5972991,90.6331967,2,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Gazaria,ChIJwfoU7AxNVDcRI2HKtbGEqYQ
Hakim Hafiz Abdul Majid Hospital,23.598485,90.6193026,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Gazaria Upazila,ChIJLYxANT5NVDcRdYMGdpMYtkQ
